pair,method,group_a,group_b,logZ_a,logZ_b,logBF_a_minus_b,abs_logBF,minuslogpost_min_a,minuslogpost_min_b,map_logpost_gap_a_minus_b,null_label,iteration
native_combined_random_split_perm014,full_covariance_laplace,native_combined_random_split_perm014_A,native_combined_random_split_perm014_B,-754.1312327203602,-754.2483228670451,0.11709014668485906,0.11709014668485906,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,14
native_combined_random_split_perm014,diagonal_covariance_laplace,native_combined_random_split_perm014_A,native_combined_random_split_perm014_B,-754.1303432558061,-754.2464913894719,0.11614813366577437,0.11614813366577437,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,14
native_combined_random_split_perm014,iqr_diagonal_laplace,native_combined_random_split_perm014_A,native_combined_random_split_perm014_B,-755.3864334818232,-755.3868969584795,0.00046347665625035006,0.00046347665625035006,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,14
native_combined_random_split_perm015,full_covariance_laplace,native_combined_random_split_perm015_A,native_combined_random_split_perm015_B,-753.9364150678365,-754.5769113236296,0.6404962557930958,0.6404962557930958,729.84925,729.9268,0.0775499999999738,native_combined_random_split,15
native_combined_random_split_perm015,diagonal_covariance_laplace,native_combined_random_split_perm015_A,native_combined_random_split_perm015_B,-753.9348018357716,-754.57600427091,0.6412024351383252,0.6412024351383252,729.84925,729.9268,0.0775499999999738,native_combined_random_split,15
native_combined_random_split_perm015,iqr_diagonal_laplace,native_combined_random_split_perm015_A,native_combined_random_split_perm015_B,-755.3611588337097,-755.4325085950658,0.0713497613560321,0.0713497613560321,729.84925,729.9268,0.0775499999999738,native_combined_random_split,15
native_combined_random_split_perm016,full_covariance_laplace,native_combined_random_split_perm016_A,native_combined_random_split_perm016_B,-754.203894544055,-754.1735528267936,-0.030341717261308077,0.030341717261308077,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,16
native_combined_random_split_perm016,diagonal_covariance_laplace,native_combined_random_split_perm016_A,native_combined_random_split_perm016_B,-754.202592132859,-754.1726441371709,-0.029947995688075935,0.029947995688075935,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,16
native_combined_random_split_perm016,iqr_diagonal_laplace,native_combined_random_split_perm016_A,native_combined_random_split_perm016_B,-755.4446545100748,-755.3121478205057,-0.132506689569027,0.132506689569027,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,16
native_combined_random_split_perm017,full_covariance_laplace,native_combined_random_split_perm017_A,native_combined_random_split_perm017_B,-754.0861074854944,-754.3002480926027,0.21414060710833382,0.21414060710833382,729.91096,729.84925,-0.06171000000006188,native_combined_random_split,17
